00:1A:1E:35:7E:60,00:1A:1E:35:7E:61,00:1A:1E:35:7E:62,00:1A:1E:35:7E:63,00:1A:1E:35:7E:64,00:1A:1E:35:7E:C0,00:1A:1E:35:7E:C1,00:1A:1E:35:7E:C2,00:1A:1E:35:7E:C3,00:1A:1E:35:7E:C4,00:1A:1E:35:81:00,00:1A:1E:35:81:01,00:1A:1E:35:81:02,00:1A:1E:35:81:03,00:1A:1E:35:81:04,00:1A:1E:35:9D:60,00:1A:1E:35:9D:61,00:1A:1E:35:9D:62,00:1A:1E:35:9D:63,00:1A:1E:35:9D:65,00:1A:1E:35:9F:00,00:1A:1E:35:9F:01,00:1A:1E:35:9F:02,00:1A:1E:35:9F:03,00:1A:1E:35:9F:04,00:24:6C:60:5C:A0,00:24:6C:60:5C:A1,00:24:6C:60:5C:A2,00:24:6C:60:5C:A3,00:24:6C:60:5C:A5,00:24:6C:93:E1:20,00:24:6C:93:E1:21,00:24:6C:93:E1:22,00:24:6C:93:E1:23,00:24:6C:93:E1:24,00:24:6C:94:8D:50,00:24:6C:94:8D:51,00:24:6C:94:8D:52,00:24:6C:94:8D:53,00:24:6C:94:8D:55,00:24:6C:94:91:50,00:24:6C:94:91:51,00:24:6C:94:91:52,00:24:6C:94:91:53,00:24:6C:94:91:55,00:24:6C:94:91:80,00:24:6C:94:91:81,00:24:6C:94:91:82,00:24:6C:94:91:83,00:24:6C:94:91:84,00:24:6C:96:4C:D0,00:24:6C:96:4C:D1,00:24:6C:96:4C:D2,00:24:6C:96:4C:D3,00:24:6C:96:B0:50,00:24:6C:96:B0:51,00:24:6C:96:B0:52,00:24:6C:96:B0:53,00:24:6C:96:B0:55,00:24:6C:96:B0:90,00:24:6C:96:B0:91,00:24:6C:96:B0:92,00:24:6C:96:B0:93,00:24:6C:96:B0:95,00:24:6C:96:B0:E0,00:24:6C:96:B0:E1,00:24:6C:96:B0:E2,00:24:6C:96:B0:E3,00:24:6C:96:B0:E4,00:C0:CA:26:71:01,00:C0:CA:26:71:02,00:C0:CA:26:71:03,08:BD:43:66:65:A8,64:66:B3:40:22:A0,7C:0E:CE:5F:DC:F0,7C:0E:CE:5F:DC:F1,C2:46:19:87:F9:21,C8:3A:35:0A:E9:78,C8:3A:35:47:75:A8,C8:3A:35:4E:DC:18,C8:3A:35:5D:4E:48,D6:9C:26:27:D9:BB,location
-91,-89,-89,0,-91,0,-85,-83,-83,-87,-68,-69,-68,-68,-64,-35,-35,-35,-34,-34,0,0,0,0,0,-74,-73,-75,-71,-73,0,0,0,0,0,-69,-74,-73,-73,-72,-78,-77,-77,0,-74,0,0,0,-90,-88,0,0,0,0,0,0,0,0,0,-81,-86,-86,-79,-80,0,0,0,0,0,-68,0,0,-87,0,0,0,0,0,-91,-91,0,0,C1
0,0,0,0,0,0,0,0,0,0,-61,-63,-59,-63,-64,-38,-38,-37,-38,-39,0,0,0,0,0,-69,-68,-67,-68,-67,0,0,0,0,0,-68,-68,-67,-67,-67,-77,0,0,-78,-75,0,0,-88,-88,-85,0,0,0,0,0,0,0,0,0,-84,-80,0,-81,-83,0,0,0,0,0,-63,-74,-86,0,0,0,0,0,0,0,0,0,0,C1
0,0,0,0,0,0,0,0,-90,-90,-64,-64,-64,-64,-66,-42,-41,-41,-42,-43,0,0,0,0,0,-79,-78,-77,-79,-78,0,0,0,0,0,-76,-77,-77,-81,-77,-77,-76,-83,-74,-76,0,0,-85,-85,0,0,0,0,0,0,0,0,0,0,-85,-91,-90,-85,-88,0,0,0,0,0,-70,-84,0,-89,0,0,0,0,-85,-91,-93,0,0,C1
-81,-80,-77,-81,-81,-81,-84,-84,-85,-84,-70,-71,-74,-72,-74,-30,-31,-31,-30,-29,0,0,0,0,0,-74,-75,-73,-73,-76,0,0,0,0,0,-69,-71,-72,-72,-71,-68,-68,-68,-69,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-78,-77,-79,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1
0,0,0,0,0,0,0,-89,-90,-88,-78,-79,-77,-76,-79,-32,-33,-33,-32,-34,0,0,0,0,0,-68,-68,-65,-66,-70,0,0,0,0,0,-70,-70,-70,-68,-71,0,0,0,0,0,-85,-86,-88,0,-89,0,0,0,0,0,0,0,0,0,0,-85,-82,-79,-81,0,0,0,0,0,-63,-73,-82,-85,0,0,0,0,-89,-82,0,0,0,C1
-81,-80,-77,-81,-81,-81,-84,-84,-85,-84,-70,-71,-74,-72,-74,-30,-31,-31,-30,-29,0,0,0,0,0,-74,-75,-73,-73,-76,0,0,0,0,0,-69,-71,-72,-72,-71,-68,-68,-68,-69,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-78,-77,-79,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1
-90,0,-91,0,0,0,0,0,-92,0,-55,-55,-56,-57,-58,-35,-34,-34,-34,-33,0,0,0,0,0,-76,-75,-76,-75,-76,0,0,0,0,0,-89,0,0,-82,-83,-89,0,-88,-88,0,0,-84,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,-92,0,0,0,-93,C1
0,0,0,0,0,0,0,-89,-90,-88,-78,-79,-77,-76,-79,-32,-33,-33,-32,-34,0,0,0,0,0,-68,-68,-65,-66,-70,0,0,0,0,0,-70,-70,-70,-68,-71,0,0,0,0,0,-85,-86,-88,0,-89,0,0,0,0,0,0,0,0,0,0,-85,-82,-79,-81,0,0,0,0,0,-63,-73,-82,-85,0,0,0,0,-89,-82,0,0,0,C1
-87,-88,-91,0,-90,0,0,0,-90,-89,-73,-73,-71,-71,-73,-37,-37,-37,-37,-35,0,0,0,0,0,-66,-64,-68,-65,-68,0,0,0,0,0,-75,-77,-77,-77,-76,-81,-82,-82,-81,-81,0,0,0,-88,-89,0,0,0,0,0,0,0,0,0,0,-81,-82,-81,-83,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,-87,-87,0,0,C1
0,0,0,0,0,0,0,0,0,0,-61,-63,-59,-63,-64,-38,-38,-37,-38,-39,0,0,0,0,0,-69,-68,-67,-68,-67,0,0,0,0,0,-68,-68,-67,-67,-67,-77,0,0,-78,-75,0,0,-88,-88,-85,0,0,0,0,0,0,0,0,0,-84,-80,0,-81,-83,0,0,0,0,0,-63,-74,-86,0,0,0,0,0,0,0,0,0,0,C1
-81,-80,-77,-81,-81,-81,-84,-84,-85,-84,-70,-71,-74,-72,-74,-30,-31,-31,-30,-29,0,0,0,0,0,-74,-75,-73,-73,-76,0,0,0,0,0,-69,-71,-72,-72,-71,-68,-68,-68,-69,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-78,-77,-79,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1
0,-86,0,0,0,0,-80,-81,-82,-80,-69,-64,-72,-71,-69,-37,-39,-37,-38,-37,0,0,0,0,0,-61,-61,-61,-61,-64,0,0,0,0,0,-75,-73,-76,-74,-73,-76,-74,-74,-76,-76,-92,-93,0,0,0,0,0,0,0,0,0,0,0,0,-81,-77,-77,-73,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,C1
-90,0,-91,0,0,0,0,0,-92,0,-55,-55,-56,-57,-58,-35,-34,-34,-34,-33,0,0,0,0,0,-76,-75,-76,-75,-76,0,0,0,0,0,-89,0,0,-82,-83,-89,0,-88,-88,0,0,-84,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,-92,0,0,0,-93,C1
-80,-83,-86,-78,-80,-81,-82,-82,-82,-84,-67,-67,-68,-66,-63,-31,-33,-34,-33,-32,0,0,0,0,0,-69,-69,-69,-69,-68,0,0,0,0,0,-68,-69,0,0,-70,-69,-72,-71,-70,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-83,-81,-82,-82,0,0,0,0,0,-64,-78,-86,0,0,0,0,0,0,0,0,0,-85,C1
0,0,0,0,0,0,0,0,0,0,-71,-73,-74,-73,-72,-27,-28,-28,-27,-28,0,0,0,0,0,-72,-76,-77,-76,-76,0,0,0,0,0,-69,-70,-67,-67,-68,-77,-78,-78,-80,-79,-88,-85,-86,-83,-85,0,0,0,0,0,0,0,0,0,0,-86,-87,-85,-87,0,0,0,0,0,-88,-88,0,0,0,0,0,0,0,-91,0,0,-87,C1
0,0,0,0,0,0,0,0,0,0,-71,-73,-74,-73,-72,-27,-28,-28,-27,-28,0,0,0,0,0,-72,-76,-77,-76,-76,0,0,0,0,0,-69,-70,-67,-67,-68,-77,-78,-78,-80,-79,-88,-85,-86,-83,-85,0,0,0,0,0,0,0,0,0,0,-86,-87,-85,-87,0,0,0,0,0,-88,-88,0,0,0,0,0,0,0,-91,0,0,-87,C1
0,0,0,0,0,-86,-81,-86,-86,-85,-76,-71,-75,-71,-77,-37,-36,-37,-34,-35,0,0,0,0,0,-72,-65,-72,-75,-73,0,0,0,0,0,-80,-76,-75,-75,-72,-79,-78,-79,-80,-83,-84,-87,-85,-84,-89,0,0,0,0,0,0,0,0,0,-78,-82,-82,-81,-84,0,0,0,0,0,0,0,0,-88,0,0,0,0,-87,-90,-94,0,0,C1
-80,-83,-86,-78,-80,-81,-82,-82,-82,-84,-67,-67,-68,-66,-63,-31,-33,-34,-33,-32,0,0,0,0,0,-69,-69,-69,-69,-68,0,0,0,0,0,-68,-69,0,0,-70,-69,-72,-71,-70,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-83,-81,-82,-82,0,0,0,0,0,-64,-78,-86,0,0,0,0,0,0,0,0,0,-85,C1
-87,-88,-91,0,-90,0,0,0,-90,-89,-73,-73,-71,-71,-73,-37,-37,-37,-37,-35,0,0,0,0,0,-66,-64,-68,-65,-68,0,0,0,0,0,-75,-77,-77,-77,-76,-81,-82,-82,-81,-81,0,0,0,-88,-89,0,0,0,0,0,0,0,0,0,0,-81,-82,-81,-83,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,-87,-87,0,0,C1
-80,-83,-86,-78,-80,-81,-82,-82,-82,-84,-67,-67,-68,-66,-63,-31,-33,-34,-33,-32,0,0,0,0,0,-69,-69,-69,-69,-68,0,0,0,0,0,-68,-69,0,0,-70,-69,-72,-71,-70,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-83,-81,-82,-82,0,0,0,0,0,-64,-78,-86,0,0,0,0,0,0,0,0,0,-85,C1
0,0,0,0,0,0,0,-87,-86,-86,-72,-72,-72,-70,-71,-41,-41,-41,-43,-41,0,0,0,0,0,-56,-57,-58,-58,-57,0,0,0,0,0,-73,-68,-68,-67,-68,-84,-83,-88,-81,-77,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,-85,-72,-74,-72,-72,0,0,0,0,0,-62,-77,0,-84,0,0,0,0,-87,-83,-85,-89,0,C1
-90,0,-91,0,0,0,0,0,-92,0,-55,-55,-56,-57,-58,-35,-34,-34,-34,-33,0,0,0,0,0,-76,-75,-76,-75,-76,0,0,0,0,0,-89,0,0,-82,-83,-89,0,-88,-88,0,0,-84,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,-92,0,0,0,-93,C1
0,-86,0,0,0,0,-80,-81,-82,-80,-69,-64,-72,-71,-69,-37,-39,-37,-38,-37,0,0,0,0,0,-61,-61,-61,-61,-64,0,0,0,0,0,-75,-73,-76,-74,-73,-76,-74,-74,-76,-76,-92,-93,0,0,0,0,0,0,0,0,0,0,0,0,-81,-77,-77,-73,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,C1
0,0,0,0,0,0,-89,-91,0,0,-68,-66,-66,-66,-66,-35,-36,-36,-34,-37,0,0,0,0,0,-82,-80,-81,-83,-81,0,0,0,0,0,-81,-80,-82,-81,-79,-83,-84,-82,-83,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,-94,0,0,0,-80,C1
0,0,0,0,0,0,0,-87,-86,-86,-72,-72,-72,-70,-71,-41,-41,-41,-43,-41,0,0,0,0,0,-56,-57,-58,-58,-57,0,0,0,0,0,-73,-68,-68,-67,-68,-84,-83,-88,-81,-77,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,-85,-72,-74,-72,-72,0,0,0,0,0,-62,-77,0,-84,0,0,0,0,-87,-83,-85,-89,0,C1
-81,-80,-77,-81,-81,-81,-84,-84,-85,-84,-70,-71,-74,-72,-74,-30,-31,-31,-30,-29,0,0,0,0,0,-74,-75,-73,-73,-76,0,0,0,0,0,-69,-71,-72,-72,-71,-68,-68,-68,-69,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-78,-77,-79,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1
-87,-88,-91,0,-90,0,0,0,-90,-89,-73,-73,-71,-71,-73,-37,-37,-37,-37,-35,0,0,0,0,0,-66,-64,-68,-65,-68,0,0,0,0,0,-75,-77,-77,-77,-76,-81,-82,-82,-81,-81,0,0,0,-88,-89,0,0,0,0,0,0,0,0,0,0,-81,-82,-81,-83,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,-87,-87,0,0,C1
0,0,0,0,0,0,-89,-91,0,0,-68,-66,-66,-66,-66,-35,-36,-36,-34,-37,0,0,0,0,0,-82,-80,-81,-83,-81,0,0,0,0,0,-81,-80,-82,-81,-79,-83,-84,-82,-83,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,-94,0,0,0,-80,C1
-91,-89,-89,0,-91,0,-85,-83,-83,-87,-68,-69,-68,-68,-64,-35,-35,-35,-34,-34,0,0,0,0,0,-74,-73,-75,-71,-73,0,0,0,0,0,-69,-74,-73,-73,-72,-78,-77,-77,0,-74,0,0,0,-90,-88,0,0,0,0,0,0,0,0,0,-81,-86,-86,-79,-80,0,0,0,0,0,-68,0,0,-87,0,0,0,0,0,-91,-91,0,0,C1
0,0,0,0,0,0,0,0,0,0,-71,-73,-74,-73,-72,-27,-28,-28,-27,-28,0,0,0,0,0,-72,-76,-77,-76,-76,0,0,0,0,0,-69,-70,-67,-67,-68,-77,-78,-78,-80,-79,-88,-85,-86,-83,-85,0,0,0,0,0,0,0,0,0,0,-86,-87,-85,-87,0,0,0,0,0,-88,-88,0,0,0,0,0,0,0,-91,0,0,-87,C1
-91,-89,-89,0,-91,0,-85,-83,-83,-87,-68,-69,-68,-68,-64,-35,-35,-35,-34,-34,0,0,0,0,0,-74,-73,-75,-71,-73,0,0,0,0,0,-69,-74,-73,-73,-72,-78,-77,-77,0,-74,0,0,0,-90,-88,0,0,0,0,0,0,0,0,0,-81,-86,-86,-79,-80,0,0,0,0,0,-68,0,0,-87,0,0,0,0,0,-91,-91,0,0,C1
0,0,0,0,0,0,0,-87,-86,-86,-72,-72,-72,-70,-71,-41,-41,-41,-43,-41,0,0,0,0,0,-56,-57,-58,-58,-57,0,0,0,0,0,-73,-68,-68,-67,-68,-84,-83,-88,-81,-77,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,-85,-72,-74,-72,-72,0,0,0,0,0,-62,-77,0,-84,0,0,0,0,-87,-83,-85,-89,0,C1
0,0,0,0,0,0,0,0,-85,-85,-72,-71,-73,-71,-70,-35,-35,-37,-35,-36,0,0,0,0,0,-71,-70,-68,-68,-69,0,0,0,0,0,-73,-72,-76,-74,-74,-79,0,-78,-78,-79,-83,-84,-84,-84,-83,0,0,0,0,0,0,0,0,0,-81,-80,-80,-81,-80,0,0,0,0,0,-78,0,0,0,0,0,0,0,-86,0,0,0,0,C1
0,0,0,0,0,0,0,0,-90,-90,-64,-64,-64,-64,-66,-42,-41,-41,-42,-43,0,0,0,0,0,-79,-78,-77,-79,-78,0,0,0,0,0,-76,-77,-77,-81,-77,-77,-76,-83,-74,-76,0,0,-85,-85,0,0,0,0,0,0,0,0,0,0,-85,-91,-90,-85,-88,0,0,0,0,0,-70,-84,0,-89,0,0,0,0,-85,-91,-93,0,0,C1
0,-87,-86,-86,-86,-76,-81,-75,-76,-82,-60,-64,-60,-65,-63,-49,-50,-50,-48,-49,0,0,0,0,0,-60,-61,-60,-61,-61,0,0,0,0,0,-67,-64,-67,-65,-65,-63,-63,-63,-63,-63,-88,-87,-91,-86,-89,0,0,0,0,0,0,0,0,0,-71,-72,-70,-72,-70,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,-88,-85,C3
-84,-84,-86,-83,-84,-84,-81,0,-83,-85,-57,-59,-58,-59,-60,-45,-43,-44,-44,-44,0,0,0,0,0,-68,-69,-67,-67,-67,0,0,0,0,0,-66,-62,-60,-66,-65,-76,-76,-76,-77,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-83,-79,-81,-82,0,0,0,0,0,-78,-82,0,0,0,0,0,0,0,0,0,0,0,C3
0,-87,-86,-86,-86,-76,-81,-75,-76,-82,-60,-64,-60,-65,-63,-49,-50,-50,-48,-49,0,0,0,0,0,-60,-61,-60,-61,-61,0,0,0,0,0,-67,-64,-67,-65,-65,-63,-63,-63,-63,-63,-88,-87,-91,-86,-89,0,0,0,0,0,0,0,0,0,-71,-72,-70,-72,-70,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,-88,-85,C3
-84,-81,-78,-76,-87,0,-83,0,0,-86,-60,-61,-60,-60,-59,-34,-31,-32,-30,-31,0,0,0,0,0,-67,-65,-64,-66,-64,0,0,0,0,0,0,-70,0,-70,-68,-65,-66,-67,-67,-70,0,-92,0,-91,0,0,0,0,0,0,0,0,0,0,-86,-84,0,0,-87,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,-89,0,0,-75,C3
-84,-81,-78,-76,-87,0,-83,0,0,-86,-60,-61,-60,-60,-59,-34,-31,-32,-30,-31,0,0,0,0,0,-67,-65,-64,-66,-64,0,0,0,0,0,0,-70,0,-70,-68,-65,-66,-67,-67,-70,0,-92,0,-91,0,0,0,0,0,0,0,0,0,0,-86,-84,0,0,-87,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,-89,0,0,-75,C3
-68,-69,-66,-67,-70,0,-78,-80,-81,-78,-71,-68,-74,-72,-70,-46,-47,-47,-48,-47,0,0,0,0,0,-60,-66,-64,-65,-62,0,0,0,0,0,-73,-72,-73,-74,-73,-60,-59,-59,-60,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-80,-81,-81,-80,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,-81,C3
-78,-79,-77,-80,-79,-81,0,-80,-80,0,-59,-64,-64,-62,-65,-52,-51,-49,-52,-52,0,0,0,0,0,-70,-72,-69,-72,-73,0,0,0,0,0,-64,-62,-65,-64,-63,-60,-58,-59,-59,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-72,-72,-71,-73,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,-90,C3
-78,-79,-77,-80,-79,-81,0,-80,-80,0,-59,-64,-64,-62,-65,-52,-51,-49,-52,-52,0,0,0,0,0,-70,-72,-69,-72,-73,0,0,0,0,0,-64,-62,-65,-64,-63,-60,-58,-59,-59,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-72,-72,-71,-73,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,-90,C3
-70,-70,-71,-72,-72,-77,-75,-73,-76,-76,-57,-56,-54,-58,-56,-39,-42,-41,-40,-40,0,0,0,0,0,-62,-62,-63,-63,-62,0,0,0,0,0,-63,-54,-55,-53,-59,-65,-66,-67,-67,-68,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,-77,-77,-76,-76,-77,0,0,0,0,0,-84,0,0,0,0,0,0,0,-94,0,0,0,-86,C3
-68,-69,-66,-67,-70,0,-78,-80,-81,-78,-71,-68,-74,-72,-70,-46,-47,-47,-48,-47,0,0,0,0,0,-60,-66,-64,-65,-62,0,0,0,0,0,-73,-72,-73,-74,-73,-60,-59,-59,-60,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-80,-81,-81,-80,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,-81,C3
-84,-84,-86,-83,-84,-84,-81,0,-83,-85,-57,-59,-58,-59,-60,-45,-43,-44,-44,-44,0,0,0,0,0,-68,-69,-67,-67,-67,0,0,0,0,0,-66,-62,-60,-66,-65,-76,-76,-76,-77,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-83,-79,-81,-82,0,0,0,0,0,-78,-82,0,0,0,0,0,0,0,0,0,0,0,C3
-84,-84,-86,-83,-84,-84,-81,0,-83,-85,-57,-59,-58,-59,-60,-45,-43,-44,-44,-44,0,0,0,0,0,-68,-69,-67,-67,-67,0,0,0,0,0,-66,-62,-60,-66,-65,-76,-76,-76,-77,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-83,-79,-81,-82,0,0,0,0,0,-78,-82,0,0,0,0,0,0,0,0,0,0,0,C3
-70,-70,-71,-72,-72,-77,-75,-73,-76,-76,-57,-56,-54,-58,-56,-39,-42,-41,-40,-40,0,0,0,0,0,-62,-62,-63,-63,-62,0,0,0,0,0,-63,-54,-55,-53,-59,-65,-66,-67,-67,-68,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,-77,-77,-76,-76,-77,0,0,0,0,0,-84,0,0,0,0,0,0,0,-94,0,0,0,-86,C3
-68,-69,-66,-67,-70,0,-78,-80,-81,-78,-71,-68,-74,-72,-70,-46,-47,-47,-48,-47,0,0,0,0,0,-60,-66,-64,-65,-62,0,0,0,0,0,-73,-72,-73,-74,-73,-60,-59,-59,-60,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-80,-81,-81,-80,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,-81,C3
-78,-79,-77,-80,-79,-81,0,-80,-80,0,-59,-64,-64,-62,-65,-52,-51,-49,-52,-52,0,0,0,0,0,-70,-72,-69,-72,-73,0,0,0,0,0,-64,-62,-65,-64,-63,-60,-58,-59,-59,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-72,-72,-71,-73,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,-90,C3
-80,-77,-77,-76,-79,-71,-67,-69,-70,-70,-60,-58,-62,-60,-62,-41,-41,-42,-41,-42,0,0,0,0,0,-64,-64,-65,-65,-65,0,0,0,0,0,-60,-61,-60,-61,-61,-55,-56,-53,-57,-55,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,-74,-75,-76,-76,-74,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,C3
0,-87,-86,-86,-86,-76,-81,-75,-76,-82,-60,-64,-60,-65,-63,-49,-50,-50,-48,-49,0,0,0,0,0,-60,-61,-60,-61,-61,0,0,0,0,0,-67,-64,-67,-65,-65,-63,-63,-63,-63,-63,-88,-87,-91,-86,-89,0,0,0,0,0,0,0,0,0,-71,-72,-70,-72,-70,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,-88,-85,C3
-80,-77,-77,-76,-79,-71,-67,-69,-70,-70,-60,-58,-62,-60,-62,-41,-41,-42,-41,-42,0,0,0,0,0,-64,-64,-65,-65,-65,0,0,0,0,0,-60,-61,-60,-61,-61,-55,-56,-53,-57,-55,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,-74,-75,-76,-76,-74,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,C3
-81,-81,-82,-82,-80,-77,-75,-79,-78,-76,-73,-72,-73,-74,-75,-70,-70,-70,-71,-70,0,0,0,0,0,-65,-67,-66,-65,-66,0,0,0,0,0,-65,-67,-68,-66,-66,-63,-62,-62,-62,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-86,-86,-87,-86,0,0,0,0,0,-85,0,0,0,-92,0,0,0,0,0,0,0,0,C4
-71,-72,-70,-74,-74,-77,-77,-79,-78,-77,-80,-80,-79,-85,-81,-54,-53,-54,-54,-55,0,0,0,0,0,-75,-73,-71,-76,-76,0,0,0,0,0,-60,-60,-50,-60,-60,-54,-54,-55,-61,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-77,-71,-76,-78,0,0,0,0,0,-90,-92,0,0,-89,0,0,0,0,0,0,0,0,C4
-73,-73,-75,-76,-73,-67,-65,-71,-69,-68,-63,-65,-64,-64,-63,-46,-47,-46,-46,-46,-90,-90,-92,-93,-93,-56,-66,-60,-60,-60,0,0,0,0,0,-71,-70,-69,-63,-69,-54,-56,-54,-55,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-71,-72,-72,-73,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,-94,0,0,0,C4
